time,rho,mean,sd,min,max
197,2,8.87,0.56,7.75,10.01
198,2,8.68,0.44,7.92,9.55
199,2,8.60,0.43,7.76,9.51
200,2,8.39,0.41,7.68,9.21
201,2,8.54,0.40,7.63,9.27
202,2,8.67,0.44,7.85,9.75
203,2,8.81,0.46,7.93,9.80
204,2,8.83,0.58,7.90,10.02
205,2,8.45,0.46,7.73,9.55
206,2,8.50,0.43,7.81,9.46
207,2,8.51,0.41,7.77,9.50
208,2,8.27,0.44,7.47,9.28
209,2,8.28,0.44,7.53,9.34
210,2,8.22,0.45,7.49,9.24
211,2,8.35,0.51,7.49,9.65
212,2,8.39,0.48,7.49,9.64
213,2,8.01,0.30,7.42,8.61
214,2,8.13,0.27,7.62,8.65
215,2,8.60,0.38,7.85,9.33
216,2,8.45,0.33,7.80,9.15
217,2,8.29,0.36,7.66,8.98
218,2,7.95,0.41,7.33,8.86
219,2,8.23,0.49,7.37,9.16
220,2,8.22,0.43,7.41,9.16
221,2,8.37,0.42,7.59,9.22
222,2,8.34,0.44,7.59,9.26
223,2,8.63,0.41,7.86,9.60
224,2,8.63,0.44,7.77,9.61
225,2,8.59,0.39,7.79,9.58
226,2,8.51,0.41,7.81,9.47
227,2,8.45,0.39,7.79,9.34
228,2,8.48,0.45,7.69,9.51
229,2,8.59,0.42,7.82,9.61
230,2,8.64,0.48,7.73,9.70
231,2,8.64,0.49,7.74,9.66
232,2,8.56,0.49,7.71,9.66
233,2,8.51,0.46,7.64,9.54
234,2,8.45,0.49,7.59,9.55
235,2,8.31,0.43,7.51,9.25
236,2,8.24,0.43,7.56,9.24
237,2,8.09,0.41,7.52,9.10
238,2,8.70,0.42,7.92,9.61
239,2,8.85,0.49,7.94,10.02
240,2,8.75,0.49,7.87,9.69
241,2,8.54,0.40,7.76,9.42
242,2,8.52,0.48,7.54,9.47
243,2,8.36,0.42,7.49,9.23
244,2,8.27,0.42,7.48,9.19
245,2,8.30,0.42,7.50,9.18
246,2,8.33,0.42,7.53,9.20
247,2,8.38,0.45,7.61,9.38
248,2,8.62,0.44,7.73,9.44
249,2,8.73,0.42,7.84,9.58
250,2,8.74,0.40,7.86,9.67
251,2,8.76,0.40,7.93,9.72
252,2,8.70,0.43,7.88,9.62
253,2,8.58,0.45,7.83,9.62
254,2,8.56,0.52,7.67,9.75
255,2,8.61,0.50,7.63,9.62
256,2,8.54,0.48,7.62,9.55
257,2,8.57,0.42,7.73,9.33
258,2,8.64,0.42,7.76,9.44
259,2,8.65,0.45,7.70,9.40
260,2,8.57,0.43,7.63,9.29
261,2,8.46,0.38,7.56,9.09
262,2,8.28,0.43,7.40,9.11
263,2,8.20,0.45,7.32,9.13
264,2,8.31,0.46,7.35,9.20
265,2,8.46,0.47,7.45,9.32
266,2,8.54,0.42,7.62,9.30
267,2,8.67,0.40,7.94,9.47
268,2,8.70,0.46,7.81,9.59
269,2,8.73,0.49,7.77,9.67
270,2,8.60,0.48,7.64,9.55
271,2,8.24,0.44,7.50,9.34
272,2,8.15,0.43,7.43,9.25
273,2,8.24,0.41,7.46,9.24
274,2,8.26,0.42,7.44,9.27
275,2,8.41,0.42,7.65,9.46
276,2,8.41,0.40,7.69,9.44
277,2,8.45,0.40,7.72,9.48
278,2,8.37,0.36,7.65,9.15
279,2,8.41,0.47,7.68,9.58
280,2,8.44,0.48,7.60,9.58
281,2,8.39,0.52,7.49,9.55
282,2,8.33,0.44,7.49,9.37
283,2,8.28,0.42,7.38,9.23
284,2,8.41,0.44,7.46,9.35
285,2,8.31,0.45,7.48,9.25
286,2,8.29,0.46,7.48,9.20
287,2,8.11,0.47,7.28,9.06
288,2,8.25,0.45,7.53,9.28
289,2,8.28,0.47,7.59,9.38
290,2,8.28,0.43,7.41,9.26
291,2,8.14,0.38,7.24,8.94
292,2,8.07,0.36,7.26,8.85
293,2,8.19,0.30,7.61,8.86
294,2,8.20,0.32,7.62,8.88
295,2,8.24,0.36,7.60,9.01
296,2,8.25,0.38,7.59,9.11
297,2,8.27,0.41,7.54,9.14
298,2,8.27,0.44,7.38,9.15
299,2,8.16,0.33,7.52,8.88
300,2,8.35,0.33,7.68,9.03
301,2,8.27,0.35,7.55,8.97
302,2,8.43,0.34,7.72,9.09
303,2,8.38,0.34,7.76,9.13
304,2,8.41,0.39,7.74,9.25
305,2,8.37,0.34,7.82,9.18
306,2,8.43,0.36,7.79,9.28
307,2,8.34,0.32,7.76,9.14
308,2,8.39,0.33,7.78,9.17
309,2,8.35,0.31,7.78,9.12
310,2,8.36,0.34,7.75,9.11
311,2,8.31,0.32,7.71,9.03
312,2,8.36,0.34,7.76,9.18
313,2,8.37,0.34,7.78,9.08
314,2,8.31,0.32,7.74,8.99
315,2,8.24,0.32,7.69,8.96
316,2,8.30,0.27,7.78,8.93
317,2,8.46,0.30,7.89,9.12
318,2,8.36,0.37,7.71,9.20
319,2,8.51,0.53,7.42,9.62
320,2,8.41,0.58,7.33,9.64
321,2,8.69,0.59,7.52,9.86
322,2,8.42,0.55,7.44,9.63
323,2,8.60,0.59,7.58,9.86
324,2,8.59,0.54,7.58,9.69
325,2,8.65,0.59,7.49,9.74
326,2,8.62,0.58,7.36,9.67
327,2,8.50,0.61,7.32,9.70
328,2,8.41,0.56,7.37,9.52
329,2,8.36,0.46,7.49,9.33
330,2,8.24,0.36,7.59,9.06
331,2,8.34,0.42,7.63,9.33
332,2,8.42,0.47,7.54,9.44
333,2,8.37,0.48,7.53,9.39
334,2,8.40,0.49,7.59,9.42
335,2,8.18,0.43,7.49,9.17
336,2,8.16,0.40,7.54,9.04
337,2,8.31,0.40,7.59,9.19
338,2,8.39,0.39,7.64,9.16
339,2,8.49,0.43,7.61,9.29
340,2,8.62,0.44,7.71,9.52
341,2,8.74,0.47,7.76,9.67
342,2,8.79,0.43,7.94,9.64
343,2,8.68,0.41,7.90,9.54
344,2,8.68,0.47,7.81,9.81
345,2,8.52,0.48,7.65,9.60
346,2,8.44,0.47,7.56,9.43
347,2,8.52,0.46,7.67,9.52
348,2,8.50,0.45,7.58,9.59
349,2,8.44,0.40,7.75,9.58
350,2,8.51,0.39,7.70,9.39
351,2,8.31,0.39,7.49,9.13
352,2,8.16,0.41,7.40,9.06
353,2,8.18,0.40,7.41,9.03
354,2,8.28,0.45,7.41,9.17
355,2,8.50,0.43,7.80,9.51
356,2,8.21,0.46,7.37,9.24
357,2,8.12,0.38,7.42,9.05
358,2,8.20,0.35,7.59,9.03
359,2,8.43,0.33,7.77,9.15
360,2,8.41,0.38,7.68,9.25
361,2,8.45,0.44,7.78,9.48
362,2,8.63,0.39,7.94,9.40
363,2,8.53,0.41,7.81,9.47
364,2,8.36,0.40,7.74,9.32
365,2,8.45,0.37,7.79,9.38
366,2,8.45,0.36,7.61,9.28
367,2,8.26,0.35,7.60,9.05
368,2,8.27,0.38,7.55,9.21
369,2,8.23,0.33,7.58,8.95
370,2,8.33,0.37,7.65,9.02
371,2,8.26,0.42,7.52,9.10
372,2,8.45,0.47,7.57,9.33
373,2,8.29,0.57,7.19,9.42
374,2,8.66,0.59,7.50,9.81
375,2,8.52,0.57,7.46,9.72
376,2,8.65,0.45,7.80,9.66
377,2,8.82,0.44,7.97,9.66
378,2,8.40,0.44,7.57,9.30
379,2,8.14,0.38,7.34,8.94
380,2,8.36,0.45,7.43,9.27
381,2,8.23,0.37,7.46,9.06
382,2,8.33,0.36,7.64,9.18
383,2,8.51,0.45,7.85,9.55
384,2,8.59,0.45,7.86,9.50
385,2,8.40,0.48,7.66,9.41
386,2,8.39,0.50,7.61,9.51
387,2,8.66,0.51,7.72,9.70
388,2,8.88,0.54,7.93,9.89
389,2,8.59,0.47,7.72,9.58
390,2,8.55,0.48,7.55,9.49
391,2,8.58,0.40,7.91,9.44
392,2,8.54,0.45,7.77,9.55
393,2,8.30,0.44,7.61,9.33
394,2,8.34,0.43,7.59,9.39
395,2,8.28,0.40,7.59,9.14
396,2,8.38,0.36,7.73,9.22
397,2,8.42,0.38,7.68,9.16
398,2,8.48,0.41,7.77,9.47
399,2,8.42,0.41,7.73,9.36
400,2,8.46,0.43,7.68,9.42
401,2,8.46,0.41,7.75,9.34
402,2,8.55,0.41,7.76,9.43
403,2,8.48,0.42,7.62,9.36
404,2,8.45,0.40,7.66,9.28
405,2,8.39,0.46,7.55,9.37
406,2,8.35,0.51,7.50,9.37
407,2,8.35,0.50,7.47,9.39
408,2,8.30,0.49,7.48,9.31
409,2,8.33,0.50,7.51,9.41
410,2,8.30,0.48,7.46,9.24
411,2,8.41,0.45,7.56,9.32
412,2,8.40,0.51,7.41,9.44
413,2,8.47,0.47,7.50,9.43
414,2,8.27,0.44,7.32,9.08
415,2,8.24,0.51,7.22,9.25
416,2,8.31,0.48,7.28,9.24
417,2,8.37,0.38,7.52,9.10
418,2,8.51,0.37,7.65,9.20
419,2,8.44,0.38,7.65,9.20
420,2,8.42,0.39,7.66,9.27
421,2,8.44,0.39,7.70,9.29
422,2,8.48,0.46,7.62,9.48
423,2,8.23,0.37,7.62,9.05
424,2,8.17,0.39,7.53,9.07
425,2,8.20,0.36,7.54,8.93
426,2,8.06,0.40,7.47,9.04
427,2,8.07,0.45,7.41,9.17
428,2,8.17,0.46,7.50,9.38
429,2,8.23,0.42,7.48,9.16
430,2,8.18,0.41,7.43,9.07
431,2,8.13,0.42,7.31,9.00
432,2,8.13,0.45,7.26,9.05
433,2,8.28,0.43,7.39,9.10
434,2,8.28,0.41,7.38,9.09
435,2,8.24,0.38,7.44,9.05
436,2,8.21,0.37,7.42,8.96
437,2,8.15,0.35,7.43,8.90
438,2,8.27,0.37,7.43,9.04
439,2,8.46,0.54,7.43,9.67
440,2,8.44,0.54,7.47,9.67
441,2,8.83,0.60,7.70,10.07
442,2,8.77,0.55,7.72,9.95
443,2,8.40,0.49,7.47,9.59
444,2,8.47,0.43,7.72,9.51
445,2,8.38,0.42,7.71,9.39
446,2,8.26,0.44,7.56,9.28
447,2,8.39,0.51,7.55,9.45
448,2,8.45,0.54,7.46,9.49
449,2,8.52,0.56,7.56,9.59
450,2,8.46,0.54,7.63,9.58
451,2,8.54,0.54,7.68,9.55
452,2,8.30,0.49,7.56,9.34
453,2,8.27,0.49,7.56,9.33
454,2,8.26,0.51,7.51,9.46
455,2,8.29,0.49,7.59,9.49
456,2,8.41,0.51,7.59,9.47
457,2,8.37,0.48,7.62,9.51
458,2,8.19,0.44,7.54,9.32
459,2,8.10,0.44,7.38,9.24
460,2,8.08,0.42,7.40,9.14
461,2,7.94,0.31,7.36,8.64
462,2,8.58,0.43,7.74,9.65
463,2,8.33,0.41,7.56,9.30
464,2,8.29,0.47,7.48,9.35
465,2,8.57,0.48,7.64,9.53
466,2,8.56,0.44,7.72,9.45
467,2,8.70,0.45,7.79,9.57
468,2,8.80,0.46,7.87,9.69
469,2,8.79,0.47,7.86,9.68
470,2,8.70,0.52,7.63,9.69
471,2,8.65,0.55,7.56,9.64
472,2,8.53,0.53,7.49,9.47
473,2,8.49,0.55,7.39,9.50
474,2,8.76,0.42,7.78,9.49
475,2,8.61,0.40,7.73,9.30
476,2,8.34,0.51,7.45,9.23
477,2,8.59,0.51,7.64,9.55
478,2,8.45,0.39,7.73,9.33
479,2,8.37,0.34,7.75,9.19
480,2,8.42,0.30,7.80,9.05
481,2,8.37,0.29,7.83,9.05
482,2,8.37,0.28,7.85,8.93
483,2,8.65,0.31,8.04,9.22
484,2,8.66,0.37,7.97,9.35
485,2,8.80,0.43,7.99,9.80
486,2,8.72,0.39,7.96,9.43
487,2,8.82,0.44,8.00,9.63
488,2,8.67,0.39,7.92,9.49
489,2,8.45,0.27,7.92,8.95
490,2,8.37,0.27,7.83,8.89
491,2,8.32,0.29,7.79,8.92
492,2,8.40,0.28,7.91,8.98
493,2,8.38,0.33,7.77,9.11
494,2,8.34,0.36,7.69,9.22
495,2,8.23,0.32,7.65,9.06
496,2,8.35,0.33,7.72,9.13
497,2,8.28,0.28,7.75,9.01
498,2,8.30,0.31,7.68,9.03
499,2,8.33,0.35,7.71,9.15
500,2,8.22,0.35,7.62,9.20
0,3,7.69,0.33,7.09,8.45
1,3,7.73,0.31,7.12,8.44
2,3,7.62,0.31,6.98,8.36
3,3,7.54,0.29,6.89,8.26
4,3,7.57,0.30,7.06,8.33
5,3,7.54,0.30,6.94,8.23
6,3,7.59,0.29,7.05,8.27
7,3,7.88,0.26,7.41,8.51
8,3,7.82,0.28,7.17,8.42
9,3,7.82,0.33,7.03,8.48
10,3,7.73,0.32,7.14,8.43
11,3,7.51,0.31,6.73,8.24
12,3,7.47,0.28,6.93,8.24
13,3,7.48,0.29,6.91,8.24
14,3,7.44,0.27,6.89,8.10
15,3,7.58,0.21,7.18,8.10
16,3,7.66,0.23,7.22,8.20
17,3,7.58,0.26,7.11,8.21
18,3,7.56,0.25,6.97,8.15
19,3,7.66,0.24,7.12,8.24
20,3,7.72,0.25,7.21,8.31
21,3,7.64,0.24,7.09,8.16
22,3,7.69,0.27,7.16,8.24
23,3,7.67,0.29,7.05,8.23
24,3,7.55,0.32,6.74,8.12
25,3,7.69,0.33,6.98,8.39
26,3,7.22,0.36,6.29,7.94
27,3,7.29,0.31,6.73,8.12
28,3,7.23,0.30,6.59,7.97
29,3,7.33,0.33,6.59,8.04
30,3,7.52,0.36,6.60,8.17
31,3,7.58,0.38,6.40,8.25
32,3,7.71,0.30,6.82,8.24
33,3,7.66,0.37,6.68,8.33
34,3,7.65,0.36,6.87,8.37
35,3,7.77,0.27,7.30,8.43
36,3,7.76,0.23,7.30,8.29
37,3,7.74,0.25,7.34,8.36
38,3,7.88,0.25,7.33,8.52
39,3,7.78,0.27,7.24,8.37
40,3,7.79,0.32,7.15,8.44
41,3,7.85,0.33,7.19,8.55
42,3,7.82,0.36,7.02,8.52
43,3,7.89,0.30,7.33,8.56
44,3,7.94,0.30,7.39,8.61
45,3,7.83,0.26,7.35,8.48
46,3,7.68,0.24,7.32,8.28
47,3,7.63,0.25,7.23,8.24
48,3,7.53,0.23,7.13,8.07
49,3,7.44,0.23,6.99,8.00
50,3,7.29,0.26,6.74,7.85
51,3,7.24,0.38,6.10,7.80
52,3,7.18,0.38,6.21,7.79
53,3,7.34,0.30,6.51,7.89
54,3,7.39,0.30,6.72,7.96
55,3,7.49,0.36,6.69,8.30
56,3,7.19,0.45,6.20,8.06
57,3,7.20,0.50,5.89,8.12
58,3,7.00,0.50,6.06,7.87
59,3,7.14,0.45,6.08,8.06
60,3,7.43,0.45,6.54,8.36
61,3,7.68,0.40,6.93,8.49
62,3,7.72,0.42,6.81,8.51
63,3,7.72,0.45,6.69,8.45
64,3,7.60,0.42,6.58,8.34
65,3,7.62,0.47,6.52,8.48
66,3,7.45,0.40,6.52,8.25
67,3,7.31,0.43,6.12,8.21
68,3,7.39,0.38,6.33,8.19
69,3,7.50,0.32,6.66,8.23
70,3,7.57,0.32,6.90,8.32
71,3,7.54,0.30,6.89,8.21
72,3,7.73,0.34,7.13,8.53
73,3,7.62,0.33,7.08,8.44
74,3,7.56,0.33,6.95,8.39
75,3,7.67,0.33,7.06,8.51
76,3,7.55,0.35,6.66,8.39
77,3,7.66,0.37,6.78,8.50
78,3,7.63,0.41,6.57,8.54
79,3,7.57,0.41,6.43,8.44
80,3,7.59,0.39,6.38,8.42
81,3,7.69,0.31,6.97,8.46
82,3,7.67,0.32,7.12,8.49
83,3,7.62,0.28,7.03,8.34
84,3,7.63,0.28,7.00,8.29
85,3,7.59,0.29,6.93,8.27
86,3,7.49,0.35,6.66,8.29
87,3,7.66,0.36,6.79,8.49
88,3,7.54,0.34,6.80,8.34
89,3,7.66,0.36,6.90,8.54
90,3,7.77,0.32,7.13,8.43
91,3,7.92,0.35,7.33,8.63
92,3,7.96,0.30,7.43,8.55
93,3,7.73,0.29,7.17,8.32
94,3,7.97,0.42,7.09,8.91
95,3,8.11,0.43,7.31,9.03
96,3,8.02,0.37,7.39,8.83
97,3,8.01,0.37,7.48,8.80
98,3,7.98,0.47,7.27,8.93
99,3,8.08,0.47,7.43,9.10
100,3,7.94,0.39,7.30,8.72
101,3,7.84,0.33,7.28,8.62
102,3,7.95,0.40,7.28,8.79
103,3,7.89,0.46,7.11,8.85
104,3,7.78,0.47,6.96,8.72
105,3,7.98,0.58,6.95,9.05
106,3,7.73,0.46,6.81,8.52
107,3,7.54,0.45,6.60,8.43
108,3,7.75,0.31,7.11,8.41
109,3,7.86,0.36,7.17,8.62
110,3,7.65,0.36,6.87,8.56
111,3,7.87,0.33,7.12,8.53
112,3,7.75,0.20,7.34,8.22
113,3,7.56,0.39,6.24,8.18
114,3,7.77,0.33,7.09,8.50
115,3,7.75,0.29,7.13,8.43
116,3,7.57,0.26,6.97,8.26
117,3,7.80,0.39,6.47,8.64
118,3,7.82,0.42,7.13,8.91
119,3,7.48,0.48,6.12,8.81
120,3,7.46,0.58,5.44,8.65
121,3,7.82,0.38,7.00,8.64
122,3,8.01,0.39,7.29,8.75
123,3,7.78,0.33,7.04,8.46
124,3,7.66,0.41,6.72,8.53
125,3,8.02,0.37,7.15,8.77
126,3,7.66,0.42,6.47,8.52
127,3,7.73,0.30,6.98,8.45
128,3,7.57,0.35,6.78,8.38
129,3,7.77,0.40,7.11,8.68
130,3,7.54,0.25,6.96,8.12
131,3,7.68,0.30,7.09,8.28
132,3,7.75,0.39,7.12,8.66
133,3,7.66,0.32,6.98,8.30
134,3,7.76,0.32,7.16,8.45
135,3,7.61,0.42,6.59,8.52
136,3,7.59,0.36,6.82,8.46
137,3,7.62,0.27,7.17,8.40
138,3,7.71,0.28,7.23,8.43
139,3,7.68,0.36,7.09,8.49
140,3,7.49,0.42,6.52,8.25
141,3,7.76,0.37,7.04,8.63
142,3,7.55,0.36,6.96,8.39
143,3,7.59,0.30,7.03,8.24
144,3,7.72,0.23,7.36,8.29
145,3,7.73,0.24,7.32,8.31
146,3,7.61,0.41,6.05,8.33
147,3,7.26,0.54,5.13,8.06
148,3,7.88,0.35,6.78,8.59
149,3,7.56,0.32,6.75,8.23
150,3,7.64,0.27,7.02,8.29
151,3,7.75,0.30,7.19,8.41
152,3,7.89,0.30,7.40,8.55
153,3,7.71,0.30,6.83,8.35
154,3,7.71,0.33,7.00,8.38
155,3,7.88,0.27,7.34,8.48
156,3,7.91,0.32,7.12,8.52
157,3,8.05,0.35,7.38,8.72
158,3,7.73,0.47,6.17,8.56
159,3,7.81,0.43,6.59,8.71
160,3,7.96,0.35,7.34,8.74
161,3,7.59,0.61,5.26,8.71
162,3,7.03,0.84,4.21,8.46
163,3,7.08,0.88,3.98,8.46
164,3,7.42,0.40,6.07,8.25
165,3,7.51,0.33,6.71,8.27
166,3,7.62,0.33,7.06,8.45
167,3,7.39,0.38,6.26,8.31
168,3,7.43,0.32,6.72,8.34
169,3,7.54,0.26,6.97,8.20
170,3,7.42,0.41,5.98,8.43
171,3,7.56,0.29,6.98,8.27
172,3,7.53,0.26,7.17,8.33
173,3,7.63,0.31,6.96,8.35
174,3,7.82,0.34,7.05,8.59
175,3,7.81,0.39,7.13,8.77
176,3,7.97,0.45,7.19,8.82
177,3,7.84,0.46,7.03,8.75
178,3,7.91,0.41,7.25,8.84
179,3,7.69,0.37,7.15,8.64
180,3,7.77,0.28,7.19,8.54
181,3,7.53,0.47,5.83,8.47
182,3,7.37,0.76,4.76,8.53
183,3,7.55,0.49,5.89,8.58
184,3,7.76,0.37,7.21,8.63
185,3,7.77,0.36,7.20,8.68
186,3,7.69,0.40,6.98,8.73
187,3,7.73,0.46,7.03,8.70
188,3,8.12,0.50,7.24,9.08
189,3,8.61,0.80,5.60,9.70
190,3,8.13,0.28,7.53,8.76
191,3,8.01,0.50,6.40,8.94
192,3,7.63,0.34,6.37,8.24
193,3,7.87,0.26,7.39,8.58
194,3,7.69,0.50,6.22,8.61
195,3,7.77,0.45,6.49,8.73
196,3,7.89,0.34,7.16,8.76
197,3,7.91,0.38,7.10,8.66
198,3,7.84,0.27,7.17,8.37
199,3,7.73,0.32,7.14,8.43
200,3,7.50,0.47,5.65,8.35
201,3,7.88,0.35,6.81,8.55
202,3,7.83,0.24,7.40,8.41
203,3,7.97,0.33,7.36,8.65
204,3,7.88,0.32,7.16,8.66
205,3,7.80,0.26,7.31,8.41
206,3,7.84,0.28,7.11,8.40
207,3,7.90,0.28,7.32,8.49
208,3,7.63,0.37,6.98,8.43
209,3,7.60,0.33,6.99,8.35
210,3,7.48,0.26,6.93,8.08
211,3,7.49,0.37,6.52,8.24
212,3,7.61,0.32,6.98,8.22
213,3,7.36,0.31,6.73,8.13
214,3,7.50,0.24,6.96,8.08
215,3,7.89,0.30,7.26,8.57
216,3,7.79,0.29,7.14,8.42
217,3,7.65,0.27,7.07,8.27
218,3,7.30,0.27,6.75,7.99
219,3,7.44,0.43,6.37,8.51
220,3,7.43,0.57,4.89,8.42
221,3,7.74,0.39,6.46,8.59
222,3,7.72,0.35,7.04,8.59
223,3,7.87,0.36,7.12,8.64
224,3,7.90,0.38,7.07,8.68
225,3,7.90,0.37,6.76,8.65
226,3,7.59,0.47,5.82,8.59
227,3,7.53,0.42,6.13,8.37
228,3,7.47,0.47,5.74,8.39
229,3,7.78,0.34,6.96,8.53
230,3,7.96,0.37,7.32,8.87
231,3,8.04,0.39,7.44,8.95
232,3,7.83,0.34,7.20,8.67
233,3,7.74,0.31,7.20,8.52
234,3,7.68,0.35,6.93,8.54
235,3,7.53,0.37,6.59,8.35
236,3,7.54,0.31,6.85,8.31
237,3,7.38,0.30,6.49,7.99
238,3,7.90,0.30,7.23,8.60
239,3,7.89,0.32,7.22,8.65
240,3,7.77,0.34,6.97,8.52
241,3,7.79,0.27,7.22,8.39
242,3,7.65,0.33,6.83,8.34
243,3,7.49,0.34,6.48,8.14
244,3,7.41,0.35,6.44,8.04
245,3,7.34,0.41,6.31,8.12
246,3,7.49,0.34,6.64,8.17
247,3,7.57,0.32,6.75,8.27
248,3,7.74,0.40,6.85,8.53
249,3,7.99,0.48,6.98,8.94
250,3,7.96,0.46,6.98,8.84
251,3,8.13,0.36,7.36,8.78
252,3,8.12,0.32,7.46,8.73
253,3,7.98,0.36,7.36,8.72
254,3,7.83,0.35,7.25,8.62
255,3,7.83,0.41,7.14,8.66
256,3,7.78,0.43,7.02,8.62
257,3,7.92,0.40,7.22,8.68
258,3,8.00,0.43,7.28,8.74
259,3,7.91,0.46,7.13,8.80
260,3,7.84,0.43,7.04,8.67
261,3,7.79,0.41,6.98,8.56
262,3,7.59,0.37,6.88,8.44
263,3,7.50,0.33,6.84,8.36
264,3,7.48,0.38,6.77,8.40
265,3,7.54,0.45,6.49,8.52
266,3,7.73,0.41,6.71,8.59
267,3,7.89,0.28,7.25,8.54
268,3,7.81,0.37,6.85,8.60
269,3,7.59,0.54,5.63,8.48
270,3,7.54,0.45,6.09,8.40
271,3,7.37,0.33,6.17,8.04
272,3,7.42,0.27,6.87,8.02
273,3,7.57,0.31,6.84,8.20
274,3,7.57,0.34,6.80,8.28
275,3,7.73,0.33,7.00,8.43
276,3,7.74,0.34,7.00,8.40
277,3,7.81,0.34,7.20,8.51
278,3,7.78,0.34,7.14,8.53
279,3,7.78,0.36,7.15,8.65
280,3,7.80,0.42,7.03,8.83
281,3,7.71,0.44,6.82,8.84
282,3,7.61,0.42,6.61,8.54
283,3,7.52,0.47,6.35,8.43
284,3,7.60,0.48,6.36,8.54
285,3,7.55,0.45,6.42,8.50
286,3,7.56,0.44,6.49,8.53
287,3,7.35,0.41,6.50,8.39
288,3,7.44,0.44,5.98,8.32
289,3,7.23,0.66,4.75,8.34
290,3,7.09,0.73,4.88,8.35
291,3,6.76,0.96,3.47,8.04
292,3,6.66,1.00,3.12,7.98
293,3,7.41,0.41,6.47,8.15
294,3,7.55,0.32,6.81,8.22
295,3,7.56,0.33,6.80,8.32
296,3,7.59,0.31,6.89,8.32
297,3,7.61,0.31,6.98,8.33
298,3,7.56,0.37,6.78,8.36
299,3,7.41,0.32,6.63,7.99
300,3,7.65,0.31,6.95,8.27
301,3,7.60,0.33,6.86,8.30
302,3,7.75,0.31,7.11,8.41
303,3,7.75,0.29,7.17,8.40
304,3,7.75,0.29,7.16,8.48
305,3,7.79,0.24,7.31,8.44
306,3,7.76,0.35,6.81,8.56
307,3,7.72,0.32,6.96,8.44
308,3,7.77,0.29,7.02,8.43
309,3,7.72,0.26,7.05,8.31
310,3,7.73,0.28,7.17,8.40
311,3,7.75,0.24,7.27,8.34
312,3,7.80,0.21,7.42,8.39
313,3,7.76,0.22,7.37,8.34
314,3,7.66,0.28,7.08,8.31
315,3,7.53,0.33,6.69,8.27
316,3,7.59,0.37,6.72,8.33
317,3,7.79,0.30,7.02,8.45
318,3,7.55,0.38,6.55,8.40
319,3,7.61,0.40,6.58,8.48
320,3,7.49,0.43,6.23,8.46
321,3,7.71,0.44,6.71,8.61
322,3,7.53,0.42,5.90,8.37
323,3,7.67,0.41,6.68,8.56
324,3,7.51,0.65,5.13,8.55
325,3,7.50,0.60,6.02,8.86
326,3,7.41,0.77,5.43,8.84
327,3,7.54,0.76,5.33,8.95
328,3,7.45,0.56,5.32,8.55
329,3,7.68,0.43,6.15,8.51
330,3,7.68,0.24,7.17,8.26
331,3,7.73,0.27,7.11,8.29
332,3,7.73,0.30,7.08,8.38
333,3,7.62,0.28,7.09,8.28
334,3,7.55,0.26,7.02,8.21
335,3,7.46,0.22,6.99,7.97
336,3,7.48,0.23,7.03,7.98
337,3,7.61,0.34,6.55,8.26
338,3,7.74,0.33,6.99,8.49
339,3,7.69,0.43,6.60,8.67
340,3,7.69,0.51,5.94,8.43
341,3,7.83,0.45,6.16,8.58
342,3,7.93,0.35,7.13,8.68
343,3,7.87,0.31,7.24,8.55
344,3,7.82,0.35,7.10,8.64
345,3,7.68,0.35,6.92,8.47
346,3,7.64,0.53,6.01,8.56
347,3,7.56,0.58,5.89,8.63
348,3,7.25,0.77,5.02,8.57
349,3,7.40,0.58,5.41,8.41
350,3,7.64,0.41,6.41,8.52
351,3,7.67,0.36,6.88,8.51
352,3,7.44,0.50,5.87,8.36
353,3,7.43,0.44,6.17,8.37
354,3,7.43,0.50,5.84,8.35
355,3,7.66,0.27,6.99,8.26
356,3,7.33,0.48,5.66,8.27
357,3,7.43,0.41,5.89,8.18
358,3,7.60,0.33,6.52,8.27
359,3,7.77,0.26,7.27,8.43
360,3,7.73,0.29,7.24,8.46
361,3,7.80,0.28,7.33,8.50
362,3,8.00,0.27,7.53,8.65
363,3,7.80,0.30,7.09,8.48
364,3,7.66,0.26,7.13,8.23
365,3,7.75,0.32,7.06,8.43
366,3,7.77,0.35,6.84,8.35
367,3,7.65,0.24,7.19,8.17
368,3,7.52,0.49,4.93,8.21
369,3,7.56,0.38,5.96,8.26
370,3,7.59,0.43,6.45,8.47
371,3,7.64,0.40,6.84,8.55
372,3,7.65,0.46,6.33,8.65
373,3,7.45,0.47,6.62,8.56
374,3,7.70,0.53,6.74,8.90
375,3,7.48,0.56,6.04,8.77
376,3,7.73,0.40,6.91,8.71
377,3,7.92,0.37,7.25,8.74
378,3,7.53,0.40,6.50,8.45
379,3,7.29,0.51,5.82,8.13
380,3,7.38,0.61,5.48,8.40
381,3,7.47,0.38,6.26,8.30
382,3,7.52,0.41,6.14,8.24
383,3,7.68,0.27,6.90,8.33
384,3,7.82,0.27,7.14,8.49
385,3,7.64,0.24,7.16,8.27
386,3,7.62,0.29,6.88,8.22
387,3,7.79,0.31,7.21,8.49
388,3,7.83,0.34,7.12,8.55
389,3,7.60,0.37,6.50,8.39
390,3,7.64,0.30,6.86,8.32
391,3,7.80,0.26,7.30,8.32
392,3,7.70,0.31,7.12,8.41
393,3,7.52,0.32,6.65,8.26
394,3,7.60,0.33,6.64,8.34
